Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\workspace\playground\vscode\src\vs\platform\environment\electron-main\environmentMainService.ts                                            | TypeScript         |         36 |         13 |         19 |         68 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\argv.ts                                                                       | TypeScript         |        318 |         17 |         37 |        372 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\argvHelper.ts                                                                 | TypeScript         |         61 |         15 |         17 |         93 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\environmentService.ts                                                         | TypeScript         |         14 |          4 |          4 |         22 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\stdin.ts                                                                      | TypeScript         |         48 |         12 |         16 |         76 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\userDataPath.d.ts                                                             | TypeScript         |          2 |         10 |          3 |         15 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\userDataPath.js                                                               | JavaScript         |         72 |         37 |         18 |        127 |
| d:\workspace\playground\vscode\src\vs\platform\environment\node\wait.ts                                                                       | TypeScript         |         18 |          4 |          4 |         26 |
| d:\workspace\playground\vscode\src\vs\platform\environment\test\node\argv.test.ts                                                             | TypeScript         |         57 |          4 |          8 |         69 |
| d:\workspace\playground\vscode\src\vs\platform\environment\test\node\environmentService.test.ts                                               | TypeScript         |         52 |          5 |         14 |         71 |
| d:\workspace\playground\vscode\src\vs\platform\environment\test\node\nativeModules.test.ts                                                    | TypeScript         |        132 |          7 |         28 |        167 |
| d:\workspace\playground\vscode\src\vs\platform\environment\test\node\userDataPath.test.ts                                                     | TypeScript         |         46 |          4 |         10 |         60 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\abstractExtensionManagementService.ts                               | TypeScript         |        625 |         63 |         83 |        771 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\configRemotes.ts                                                    | TypeScript         |         97 |          6 |         12 |        115 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionEnablementService.ts                                       | TypeScript         |        137 |          5 |         25 |        167 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionGalleryService.ts                                          | TypeScript         |        965 |        123 |        163 |      1,251 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionManagement.ts                                              | TypeScript         |        418 |         14 |         76 |        508 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionManagementCLI.ts                                           | TypeScript         |        269 |          4 |         40 |        313 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionManagementIpc.ts                                           | TypeScript         |        158 |          4 |         41 |        203 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionManagementUtil.ts                                          | TypeScript         |        148 |         20 |         26 |        194 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionNls.ts                                                     | TypeScript         |         64 |         14 |          6 |         84 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionStorage.ts                                                 | TypeScript         |        173 |         10 |         33 |        216 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionTipsService.ts                                             | TypeScript         |        101 |          4 |         14 |        119 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionUrlTrust.ts                                                | TypeScript         |          6 |          4 |          4 |         14 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionsProfileScannerService.ts                                  | TypeScript         |        105 |          8 |         17 |        130 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\extensionsScannerService.ts                                         | TypeScript         |        811 |         28 |         87 |        926 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\common\unsupportedExtensionsMigration.ts                                   | TypeScript         |         57 |         12 |          7 |         76 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\electron-main\defaultExtensionsProfileInit.ts                              | TypeScript         |         46 |          6 |          6 |         58 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\electron-sandbox\extensionTipsService.ts                                   | TypeScript         |        283 |         23 |         39 |        345 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\electron-sandbox\extensionsScannerService.ts                               | TypeScript         |         29 |          4 |          6 |         39 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionDownloader.ts                                                | TypeScript         |        107 |          7 |         15 |        129 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionLifecycle.ts                                                 | TypeScript         |        104 |         11 |         21 |        136 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionManagementService.ts                                         | TypeScript         |        720 |         11 |        106 |        837 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionManagementUtil.ts                                            | TypeScript         |         13 |          4 |          3 |         20 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionUrlTrustService.ts                                           | TypeScript         |         71 |          4 |         23 |         98 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionsManifestCache.ts                                            | TypeScript         |         30 |          4 |          8 |         42 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionsScannerService.ts                                           | TypeScript         |         27 |          4 |          5 |         36 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\node\extensionsWatcher.ts                                                  | TypeScript         |        116 |          9 |         21 |        146 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\test\common\configRemotes.test.ts                                          | TypeScript         |         92 |         16 |         23 |        131 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\test\common\extensionGalleryService.test.ts                                | TypeScript         |        132 |          4 |         21 |        157 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\test\common\extensionManagement.test.ts                                    | TypeScript         |         36 |          4 |          5 |         45 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\test\common\extensionNls.test.ts                                           | TypeScript         |         95 |          6 |         10 |        111 |
| d:\workspace\playground\vscode\src\vs\platform\extensionManagement\test\node\extensionsScannerService.test.ts                                 | TypeScript         |        276 |          4 |         62 |        342 |
| d:\workspace\playground\vscode\src\vs\platform\extensionRecommendations\common\extensionRecommendations.ts                                    | TypeScript         |         28 |          4 |         10 |         42 |
| d:\workspace\playground\vscode\src\vs\platform\extensionRecommendations\electron-sandbox\extensionRecommendationsIpc.ts                       | TypeScript         |         29 |          4 |         16 |         49 |
| d:\workspace\playground\vscode\src\vs\platform\extensions\common\extensionHostStarter.ts                                                      | TypeScript         |         27 |          4 |          9 |         40 |
| d:\workspace\playground\vscode\src\vs\platform\extensions\common\extensionValidator.ts                                                        | TypeScript         |        315 |         24 |         54 |        393 |
| d:\workspace\playground\vscode\src\vs\platform\extensions\common\extensions.ts                                                                | TypeScript         |        337 |         27 |         61 |        425 |
| d:\workspace\playground\vscode\src\vs\platform\extensions\electron-main\extensionHostStarter.ts                                               | TypeScript         |        334 |         18 |         66 |        418 |
| d:\workspace\playground\vscode\src\vs\platform\extensions\test\common\extensionValidator.test.ts                                              | TypeScript         |        362 |         11 |         50 |        423 |
| d:\workspace\playground\vscode\src\vs\platform\externalServices\common\marketplace.ts                                                         | TypeScript         |         28 |          4 |          6 |         38 |
| d:\workspace\playground\vscode\src\vs\platform\externalServices\common\serviceMachineId.ts                                                    | TypeScript         |         27 |          5 |          6 |         38 |
| d:\workspace\playground\vscode\src\vs\platform\externalTerminal\common\externalTerminal.ts                                                    | TypeScript         |         30 |          4 |         10 |         44 |
| d:\workspace\playground\vscode\src\vs\platform\externalTerminal\electron-main\externalTerminalService.test.ts                                 | TypeScript         |        191 |          4 |         12 |        207 |
| d:\workspace\playground\vscode\src\vs\platform\externalTerminal\electron-sandbox\externalTerminalMainService.ts                               | TypeScript         |          8 |          4 |          5 |         17 |
| d:\workspace\playground\vscode\src\vs\platform\externalTerminal\node\externalTerminalService.ts                                               | TypeScript         |        263 |         25 |         57 |        345 |
| d:\workspace\playground\vscode\src\vs\platform\files\browser\htmlFileSystemProvider.ts                                                        | TypeScript         |        326 |         41 |         95 |        462 |
| d:\workspace\playground\vscode\src\vs\platform\files\browser\indexedDBFileSystemProvider.ts                                                   | TypeScript         |        377 |         14 |         58 |        449 |
| d:\workspace\playground\vscode\src\vs\platform\files\browser\webFileSystemAccess.ts                                                           | TypeScript         |         21 |          9 |          8 |         38 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\diskFileSystemProvider.ts                                                         | TypeScript         |        132 |         40 |         49 |        221 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\diskFileSystemProviderClient.ts                                                   | TypeScript         |        138 |         50 |         59 |        247 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\fileService.ts                                                                    | TypeScript         |        866 |        191 |        295 |      1,352 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\files.ts                                                                          | TypeScript         |        611 |        473 |        242 |      1,326 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\inMemoryFilesystemProvider.ts                                                     | TypeScript         |        182 |         10 |         43 |        235 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\io.ts                                                                             | TypeScript         |         89 |         21 |         30 |        140 |
| d:\workspace\playground\vscode\src\vs\platform\files\common\watcher.ts                                                                        | TypeScript         |        218 |        104 |         90 |        412 |
| d:\workspace\playground\vscode\src\vs\platform\files\electron-main\diskFileSystemProviderServer.ts                                            | TypeScript         |         51 |          8 |         17 |         76 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\diskFileSystemProvider.ts                                                           | TypeScript         |        479 |        133 |        137 |        749 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\diskFileSystemProviderServer.ts                                                     | TypeScript         |        223 |         32 |         80 |        335 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\nodejs\nodejsClient.ts                                                      | TypeScript         |         15 |          4 |          6 |         25 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\nodejs\nodejsWatcher.ts                                                     | TypeScript         |         84 |         20 |         35 |        139 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\nodejs\nodejsWatcherLib.ts                                                  | TypeScript         |        324 |        116 |         96 |        536 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\parcel\parcelWatcher.ts                                                     | TypeScript         |        389 |        229 |        119 |        737 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\watcher.ts                                                                  | TypeScript         |         40 |          4 |         10 |         54 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\watcherClient.ts                                                            | TypeScript         |         31 |          7 |          9 |         47 |
| d:\workspace\playground\vscode\src\vs\platform\files\node\watcher\watcherMain.ts                                                              | TypeScript         |          6 |          4 |          3 |         13 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\browser\fileService.test.ts                                                         | TypeScript         |        210 |          4 |         62 |        276 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\browser\indexedDBFileService.integrationTest.ts                                     | TypeScript         |        469 |          4 |        115 |        588 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\common\files.test.ts                                                                | TypeScript         |        206 |          8 |         40 |        254 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\common\nullFileSystemProvider.ts                                                    | TypeScript         |         32 |          4 |         11 |         47 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\common\watcher.test.ts                                                              | TypeScript         |        222 |         22 |         72 |        316 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\diskFileService.test.ts                                                        | TypeScript         |      1,822 |         24 |        643 |      2,489 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\examples\company.js                                          | JavaScript         |         22 |          1 |          1 |         24 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\examples\conway.js                                           | JavaScript         |        116 |          1 |          1 |        118 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\examples\employee.js                                         | JavaScript         |         38 |          0 |          1 |         39 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\examples\small.js                                            | JavaScript         |         22 |          2 |          1 |         25 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\index.html                                                   | HTML               |        108 |          0 |         14 |        122 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\other\deep\company.js                                        | JavaScript         |         22 |          1 |          1 |         24 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\other\deep\conway.js                                         | JavaScript         |        116 |          1 |          1 |        118 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\other\deep\employee.js                                       | JavaScript         |         38 |          0 |          1 |         39 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\other\deep\small.js                                          | JavaScript         |         22 |          2 |          1 |         25 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\resolver\site.css                                                     | CSS                |         26 |          9 |          6 |         41 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\deep\company.js                                               | JavaScript         |         22 |          1 |          1 |         24 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\deep\conway.js                                                | JavaScript         |        116 |          1 |          1 |        118 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\deep\employee.js                                              | JavaScript         |         38 |          0 |          1 |         39 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\deep\small.js                                                 | JavaScript         |         22 |          2 |          1 |         25 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\index.html                                                    | HTML               |        108 |          0 |         14 |        122 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\fixtures\service\some_utf16le.css                                              | CSS                |         71 |          0 |          0 |         71 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\nodejsWatcher.integrationTest.ts                                               | TypeScript         |        359 |         45 |        126 |        530 |
| d:\workspace\playground\vscode\src\vs\platform\files\test\node\parcelWatcher.integrationTest.ts                                               | TypeScript         |        440 |        113 |        130 |        683 |
| d:\workspace\playground\vscode\src\vs\platform\history\browser\contextScopedHistoryWidget.ts                                                  | TypeScript         |        111 |          5 |         23 |        139 |
| d:\workspace\playground\vscode\src\vs\platform\history\browser\historyWidgetKeybindingHint.ts                                                 | TypeScript         |          4 |          4 |          3 |         11 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\descriptors.ts                                                            | TypeScript         |         13 |          4 |          5 |         22 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\extensions.ts                                                             | TypeScript         |         18 |         12 |          8 |         38 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\graph.ts                                                                  | TypeScript         |         82 |          9 |         21 |        112 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\instantiation.ts                                                          | TypeScript         |         59 |         26 |         27 |        112 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\instantiationService.ts                                                   | TypeScript         |        279 |         24 |         58 |        361 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\common\serviceCollection.ts                                                      | TypeScript         |         21 |          4 |          8 |         33 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\test\common\graph.test.ts                                                        | TypeScript         |         42 |          4 |         10 |         56 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\test\common\instantiationService.test.ts                                         | TypeScript         |        336 |         27 |        100 |        463 |
| d:\workspace\playground\vscode\src\vs\platform\instantiation\test\common\instantiationServiceMock.ts                                          | TypeScript         |        137 |          4 |         26 |        167 |
| d:\workspace\playground\vscode\src\vs\platform\ipc\electron-browser\mainProcessService.ts                                                     | TypeScript         |         16 |          7 |          7 |         30 |
| d:\workspace\playground\vscode\src\vs\platform\ipc\electron-sandbox\mainProcessService.ts                                                     | TypeScript         |         20 |          7 |          9 |         36 |
| d:\workspace\playground\vscode\src\vs\platform\ipc\electron-sandbox\services.ts                                                               | TypeScript         |         58 |          8 |         25 |         91 |
| d:\workspace\playground\vscode\src\vs\platform\issue\common\issue.ts                                                                          | TypeScript         |         98 |          6 |         13 |        117 |
| d:\workspace\playground\vscode\src\vs\platform\issue\common\issueReporterUtil.ts                                                              | TypeScript         |         14 |          6 |          7 |         27 |
| d:\workspace\playground\vscode\src\vs\platform\issue\electron-main\issueMainService.ts                                                        | TypeScript         |        362 |         14 |         78 |        454 |
| d:\workspace\playground\vscode\src\vs\platform\issue\electron-sandbox\issue.ts                                                                | TypeScript         |          6 |          4 |          4 |         14 |
| d:\workspace\playground\vscode\src\vs\platform\jsonschemas\common\jsonContributionRegistry.ts                                                 | TypeScript         |         43 |         14 |         24 |         81 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\abstractKeybindingService.ts                                                 | TypeScript         |        280 |         15 |         58 |        353 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\baseResolvedKeybinding.ts                                                    | TypeScript         |         66 |          7 |         16 |         89 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\keybinding.ts                                                                | TypeScript         |         50 |         25 |         28 |        103 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\keybindingResolver.ts                                                        | TypeScript         |        284 |         32 |         53 |        369 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\keybindingsRegistry.ts                                                       | TypeScript         |        214 |          8 |         27 |        249 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\resolvedKeybindingItem.ts                                                    | TypeScript         |         40 |          6 |          6 |         52 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\common\usLayoutResolvedKeybinding.ts                                                | TypeScript         |        166 |         10 |         19 |        195 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\test\common\abstractKeybindingService.test.ts                                       | TypeScript         |        381 |         15 |         56 |        452 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\test\common\keybindingLabels.test.ts                                                | TypeScript         |        115 |         27 |         33 |        175 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\test\common\keybindingResolver.test.ts                                              | TypeScript         |        373 |         16 |         45 |        434 |
| d:\workspace\playground\vscode\src\vs\platform\keybinding\test\common\mockKeybindingService.ts                                                | TypeScript         |        128 |         10 |         32 |        170 |
| d:\workspace\playground\vscode\src\vs\platform\keyboardLayout\common\dispatchConfig.ts                                                        | TypeScript         |         10 |          4 |          3 |         17 |
| d:\workspace\playground\vscode\src\vs\platform\keyboardLayout\common\keyboardLayout.ts                                                        | TypeScript         |        203 |          5 |         31 |        239 |
| d:\workspace\playground\vscode\src\vs\platform\keyboardLayout\common\keyboardLayoutService.ts                                                 | TypeScript         |         11 |          4 |          4 |         19 |
| d:\workspace\playground\vscode\src\vs\platform\keyboardLayout\common\keyboardMapper.ts                                                        | TypeScript         |         35 |          4 |         10 |         49 |
| d:\workspace\playground\vscode\src\vs\platform\keyboardLayout\electron-main\keyboardLayoutMainService.ts                                      | TypeScript         |         49 |         10 |         15 |         74 |
| d:\workspace\playground\vscode\src\vs\platform\label\common\label.ts                                                                          | TypeScript         |         37 |         15 |         11 |         63 |
| d:\workspace\playground\vscode\src\vs\platform\languagePacks\browser\languagePacks.ts                                                         | TypeScript         |          6 |          5 |          3 |         14 |
| d:\workspace\playground\vscode\src\vs\platform\languagePacks\common\languagePacks.ts                                                          | TypeScript         |         86 |          5 |         19 |        110 |
| d:\workspace\playground\vscode\src\vs\platform\languagePacks\common\localizedStrings.ts                                                       | TypeScript         |          9 |          8 |          5 |         22 |
| d:\workspace\playground\vscode\src\vs\platform\languagePacks\node\languagePacks.ts                                                            | TypeScript         |        193 |          5 |         19 |        217 |
| d:\workspace\playground\vscode\src\vs\platform\launch\electron-main\launchMainService.ts                                                      | TypeScript         |        156 |         31 |         37 |        224 |
| d:\workspace\playground\vscode\src\vs\platform\layout\browser\layoutService.ts                                                                | TypeScript         |         17 |         38 |         12 |         67 |
| d:\workspace\playground\vscode\src\vs\platform\layout\browser\zIndexRegistry.ts                                                               | TypeScript         |         59 |          4 |         13 |         76 |
| d:\workspace\playground\vscode\src\vs\platform\lifecycle\common\lifecycle.ts                                                                  | TypeScript         |         24 |          6 |          8 |         38 |
| d:\workspace\playground\vscode\src\vs\platform\lifecycle\electron-main\lifecycleMainService.ts                                                | TypeScript         |        358 |        170 |        145 |        673 |
| d:\workspace\playground\vscode\src\vs\platform\list\browser\listService.ts                                                                    | TypeScript         |      1,151 |         18 |        232 |      1,401 |
| d:\workspace\playground\vscode\src\vs\platform\log\browser\log.ts                                                                             | TypeScript         |         28 |          9 |          8 |         45 |
| d:\workspace\playground\vscode\src\vs\platform\log\common\bufferLog.ts                                                                        | TypeScript         |         68 |          4 |         19 |         91 |
| d:\workspace\playground\vscode\src\vs\platform\log\common\fileLog.ts                                                                          | TypeScript         |        133 |          4 |         24 |        161 |
| d:\workspace\playground\vscode\src\vs\platform\log\common\log.ts                                                                              | TypeScript         |        468 |         31 |        111 |        610 |
| d:\workspace\playground\vscode\src\vs\platform\log\common\logIpc.ts                                                                           | TypeScript         |        130 |          4 |         41 |        175 |
| d:\workspace\playground\vscode\src\vs\platform\log\node\loggerService.ts                                                                      | TypeScript         |         23 |          4 |          6 |         33 |
| d:\workspace\playground\vscode\src\vs\platform\log\node\spdlogLog.ts                                                                          | TypeScript         |         91 |          5 |         13 |        109 |
| d:\workspace\playground\vscode\src\vs\platform\markers\common\markerService.ts                                                                | TypeScript         |        280 |         17 |         53 |        350 |
| d:\workspace\playground\vscode\src\vs\platform\markers\common\markers.ts                                                                      | TypeScript         |        152 |         12 |         26 |        190 |
| d:\workspace\playground\vscode\src\vs\platform\markers\test\common\markerService.test.ts                                                      | TypeScript         |        153 |          4 |         47 |        204 |
| d:\workspace\playground\vscode\src\vs\platform\menubar\common\menubar.ts                                                                      | TypeScript         |         50 |          4 |         15 |         69 |
| d:\workspace\playground\vscode\src\vs\platform\menubar\electron-main\menubar.ts                                                               | TypeScript         |        646 |         55 |        141 |        842 |
| d:\workspace\playground\vscode\src\vs\platform\menubar\electron-main\menubarMainService.ts                                                    | TypeScript         |         29 |          4 |         12 |         45 |
| d:\workspace\playground\vscode\src\vs\platform\menubar\electron-sandbox\menubar.ts                                                            | TypeScript         |          6 |          4 |          4 |         14 |
| d:\workspace\playground\vscode\src\vs\platform\native\common\native.ts                                                                        | TypeScript         |        103 |         30 |         40 |        173 |
| d:\workspace\playground\vscode\src\vs\platform\native\electron-main\nativeHostMainService.ts                                                  | TypeScript         |        590 |         51 |        165 |        806 |
| d:\workspace\playground\vscode\src\vs\platform\native\electron-sandbox\native.ts                                                              | TypeScript         |          4 |         11 |          4 |         19 |
| d:\workspace\playground\vscode\src\vs\platform\native\electron-sandbox\nativeHostService.ts                                                   | TypeScript         |         19 |          5 |          6 |         30 |
| d:\workspace\playground\vscode\src\vs\platform\notification\common\notification.ts                                                            | TypeScript         |        107 |        231 |         80 |        418 |
| d:\workspace\playground\vscode\src\vs\platform\notification\test\common\testNotificationService.ts                                            | TypeScript         |         29 |          4 |         15 |         48 |
| d:\workspace\playground\vscode\src\vs\platform\opener\browser\link.ts                                                                         | TypeScript         |        106 |          4 |         24 |        134 |
| d:\workspace\playground\vscode\src\vs\platform\opener\common\opener.ts                                                                        | TypeScript         |         84 |         62 |         30 |        176 |
| d:\workspace\playground\vscode\src\vs\platform\opener\test\common\opener.test.ts                                                              | TypeScript         |         61 |          4 |         19 |         84 |
| d:\workspace\playground\vscode\src\vs\platform\policy\common\filePolicyService.ts                                                             | TypeScript         |         62 |          4 |         17 |         83 |
| d:\workspace\playground\vscode\src\vs\platform\policy\common\policy.ts                                                                        | TypeScript         |         45 |          4 |         16 |         65 |
| d:\workspace\playground\vscode\src\vs\platform\policy\common\policyIpc.ts                                                                     | TypeScript         |         57 |          4 |         16 |         77 |
| d:\workspace\playground\vscode\src\vs\platform\policy\node\nativePolicyService.ts                                                             | TypeScript         |         32 |          4 |          9 |         45 |
| d:\workspace\playground\vscode\src\vs\platform\product\common\product.ts                                                                      | TypeScript         |         48 |         17 |         13 |         78 |
| d:\workspace\playground\vscode\src\vs\platform\product\common\productService.ts                                                               | TypeScript         |          7 |          4 |          7 |         18 |
| d:\workspace\playground\vscode\src\vs\platform\profiling\common\profiling.ts                                                                  | TypeScript         |         42 |          4 |         13 |         59 |
| d:\workspace\playground\vscode\src\vs\platform\profiling\electron-sandbox\profilingService.ts                                                 | TypeScript         |          3 |          4 |          3 |         10 |
| d:\workspace\playground\vscode\src\vs\platform\profiling\node\profilingService.ts                                                             | TypeScript         |         23 |          4 |          7 |         34 |
| d:\workspace\playground\vscode\src\vs\platform\progress\common\progress.ts                                                                    | TypeScript         |        159 |         27 |         42 |        228 |
| d:\workspace\playground\vscode\src\vs\platform\protocol\electron-main\protocol.ts                                                             | TypeScript         |         13 |         25 |         10 |         48 |
| d:\workspace\playground\vscode\src\vs\platform\protocol\electron-main\protocolMainService.ts                                                  | TypeScript         |         96 |         31 |         43 |        170 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\commandsQuickAccess.ts                                                      | TypeScript         |        220 |         21 |         63 |        304 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\helpQuickAccess.ts                                                          | TypeScript         |         54 |          8 |         18 |         80 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\pickerQuickAccess.ts                                                        | TypeScript         |        205 |         83 |         55 |        343 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\quickAccess.ts                                                              | TypeScript         |        148 |         35 |         40 |        223 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\quickInput.ts                                                               | TypeScript         |        200 |          7 |         38 |        245 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\browser\quickPickPin.ts                                                             | TypeScript         |         87 |         12 |         10 |        109 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\common\quickAccess.ts                                                               | TypeScript         |         79 |         90 |         43 |        212 |
| d:\workspace\playground\vscode\src\vs\platform\quickinput\common\quickInput.ts                                                                | TypeScript         |         27 |         50 |         21 |         98 |
| d:\workspace\playground\vscode\src\vs\platform\registry\common\platform.ts                                                                    | TypeScript         |         23 |         18 |         13 |         54 |
| d:\workspace\playground\vscode\src\vs\platform\registry\test\common\platform.test.ts                                                          | TypeScript         |         33 |          4 |         15 |         52 |
| d:\workspace\playground\vscode\src\vs\platform\remote\browser\browserSocketFactory.ts                                                         | TypeScript         |        204 |         31 |         53 |        288 |
| d:\workspace\playground\vscode\src\vs\platform\remote\browser\remoteAuthorityResolverService.ts                                               | TypeScript         |         71 |          4 |         16 |         91 |
| d:\workspace\playground\vscode\src\vs\platform\remote\common\remoteAgentConnection.ts                                                         | TypeScript         |        690 |         14 |        102 |        806 |
| d:\workspace\playground\vscode\src\vs\platform\remote\common\remoteAgentEnvironment.ts                                                        | TypeScript         |         24 |          4 |          4 |         32 |
| d:\workspace\playground\vscode\src\vs\platform\remote\common\remoteAuthorityResolver.ts                                                       | TypeScript         |         88 |         13 |         24 |        125 |
| d:\workspace\playground\vscode\src\vs\platform\remote\common\remoteHosts.ts                                                                   | TypeScript         |         50 |         14 |         11 |         75 |
| d:\workspace\playground\vscode\src\vs\platform\remote\common\sharedProcessTunnelService.ts                                                    | TypeScript         |         15 |         21 |          7 |         43 |
| d:\workspace\playground\vscode\src\vs\platform\remote\electron-sandbox\remoteAuthorityResolverService.ts                                      | TypeScript         |        111 |          6 |         19 |        136 |
| d:\workspace\playground\vscode\src\vs\platform\remote\electron-sandbox\sharedProcessTunnelService.ts                                          | TypeScript         |          3 |          4 |          3 |         10 |
