Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\tasks\test\common\problemMatcher.test.ts                                              | TypeScript         |        233 |          4 |         21 |        258 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\tasks\test\common\taskConfiguration.test.ts                                           | TypeScript         |      1,730 |          6 |        154 |      1,890 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\telemetry\browser\telemetry.contribution.ts                                           | TypeScript         |        195 |         13 |         30 |        238 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\.eslintrc.json                                                               | JSON               |         15 |          4 |          1 |         20 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\baseTerminalBackend.ts                                               | TypeScript         |         98 |          6 |          7 |        111 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\environmentVariableInfo.ts                                           | TypeScript         |         81 |          4 |         16 |        101 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\links.ts                                                       | TypeScript         |         38 |         64 |         23 |        125 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalExternalLinkDetector.ts                                | TypeScript         |         41 |          5 |          9 |         55 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLink.ts                                                | TypeScript         |        127 |         13 |         19 |        159 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLinkDetectorAdapter.ts                                 | TypeScript         |         96 |         12 |         18 |        126 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLinkHelpers.ts                                         | TypeScript         |        139 |         32 |         13 |        184 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLinkManager.ts                                         | TypeScript         |        465 |         43 |         55 |        563 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLinkOpeners.ts                                         | TypeScript         |        247 |         41 |         30 |        318 |
